Sheet Name,Link
NER,https://huggingface.co/datasets/Babelscape/wikineural
NER,https://huggingface.co/datasets/sapienzanlp/nermud
NER,https://huggingface.co/datasets/unimelb-nlp/wikiann
NER,https://huggingface.co/datasets/MultiCoNER/multiconer_v2
NER,https://huggingface.co/datasets/IVN-RIN/PsyNIT
NER,https://huggingface.co/datasets/DeepMount00/GLINER_ITA
NER,https://huggingface.co/datasets/DeepMount00/pii-masking-ita
NER,https://huggingface.co/datasets/mrovera/eventnet-ita
NER,https://huggingface.co/datasets/google/xtreme
MT,https://huggingface.co/datasets/Helsinki-NLP/tatoeba
MT,https://huggingface.co/datasets/facebook/flores
MT,https://huggingface.co/datasets/GroNLP/divemt
MT,https://huggingface.co/datasets/aiana94/polynews-parallel
TS,https://huggingface.co/datasets/ARTeLab/ilpost
TS,https://huggingface.co/datasets/ARTeLab/mlsum-it
TS,https://huggingface.co/datasets/ARTeLab/fanpage
TS,https://huggingface.co/datasets/itacasehold/itacasehold
WSD,https://huggingface.co/datasets/sapienzanlp/wic
QA,https://huggingface.co/datasets/andreabac3/StackOverflow-Italian-Fauno-Baize?row=1
QA,https://huggingface.co/datasets/crux82/squad_it
QA,https://huggingface.co/datasets/sapienzanlp/piqa_italian
QA,https://huggingface.co/datasets/sapienzanlp/mmlu_italian
QA,https://huggingface.co/datasets/sapienzanlp/truthful_qa_italian
QA,https://huggingface.co/datasets/sapienzanlp/gsm8k_italian?row=0
QA,https://huggingface.co/datasets/sapienzanlp/arc_italian?row=0
QA,https://huggingface.co/datasets/sapienzanlp/quandho
QA,https://huggingface.co/datasets/sapienzanlp/sciq_italian
QA,https://huggingface.co/datasets/sapienzanlp/boolq_italian?row=81
QA,https://huggingface.co/datasets/lmqg/qg_itquad
QA,https://huggingface.co/datasets/alespalla/dlgs_81_08_qa
QA,https://huggingface.co/datasets/efederici/shp-partial-it?row=1
QA,https://huggingface.co/datasets/yurinoviello/miracl_ita
QA,https://huggingface.co/datasets/andreabac3/Quora-Italian-Fauno-Baize
QA,https://huggingface.co/datasets/giux78/100k-sft-ready-ultrafeedback-ita
QA,https://huggingface.co/datasets/efederici/lfqa-preprocessed-it
QA,https://huggingface.co/datasets/room-b007/test-medicina
QA,https://huggingface.co/datasets/FinancialSupport/quiz_militare
QA,https://huggingface.co/datasets/DeepMount00/mmlu_it_open
QA,https://huggingface.co/datasets/benjleite/FairytaleQA-translated-italian
QA,https://huggingface.co/datasets/GianlucaMondillo/MotherPediatricianQA_ITA
QA,https://huggingface.co/datasets/WasamiKirua/psycology-dataset-ita
QA,https://huggingface.co/datasets/Detsutut/medmcqa-ita
QA,https://huggingface.co/datasets/efederici/fisica
QA,https://huggingface.co/datasets/efederici/biologia-mc
QA,https://huggingface.co/datasets/ReDiX/wikipediaQA-ita
QA,https://huggingface.co/datasets/mii-llm/argilla-math-preferences-it
CoR,https://huggingface.co/datasets/sapienzanlp/winogrande_italian?row=7
CoR,https://huggingface.co/datasets/sapienzanlp/pretens
CoR,https://huggingface.co/datasets/sapienzanlp/discotex
CoR,https://huggingface.co/datasets/benjleite/FairytaleQA-translated-italian
CR,https://huggingface.co/datasets/sapienzanlp/piqa_italian
CR,https://huggingface.co/datasets/sapienzanlp/prelearn
CR,https://huggingface.co/datasets/sapienzanlp/hellaswag_italian?row=0
CR,https://huggingface.co/datasets/raicrits/Orca_ITA_200k
CR,https://huggingface.co/datasets/raicrits/RAI-CMM-OPEN1
CR,https://huggingface.co/datasets/efederici/lfqa-preprocessed-it
CR,https://huggingface.co/datasets/swap-uniba/drop_ita
CR,https://huggingface.co/datasets/mii-llm/cruciverba
CR,https://huggingface.co/datasets/efederici/capybara-claude-15k-ita
CR,https://huggingface.co/datasets/giux78/aya_dataset_ita
CR,https://huggingface.co/datasets/Kamyar-zeinalipour/ITA_CW
GEC,https://huggingface.co/datasets/gsarti/itacola
TRS,https://huggingface.co/datasets/community-datasets/tapaco
TRS,https://huggingface.co/datasets/PhilipMay/stsb_multi_mt
TRS,https://huggingface.co/datasets/gsarti/change_it
TRS,https://huggingface.co/datasets/leobertolazzi/ita2medieval 
TRS,https://huggingface.co/datasets/efederici/shp-partial-it?row=1
WRITING,https://huggingface.co/datasets/teelinsan/camoscio?row=3
WRITING,https://huggingface.co/datasets/mchl-labs/stambecco_data_it
WRITING,https://huggingface.co/datasets/efederici/alpaca-gpt4-it
WRITING,https://huggingface.co/datasets/amitness/wikipedia_it
WRITING,https://huggingface.co/datasets/cosimoiaia/Loquace-102k
WRITING,https://huggingface.co/datasets/andreabac3/MedQuaAD-Italian-Fauno-Baize
WRITING,https://huggingface.co/datasets/seeweb/Seeweb-it-292-forLLM
WRITING,https://huggingface.co/datasets/teelinsan/camoscio_cleaned
WRITING,https://huggingface.co/datasets/AndreaSimeri/Italian_Civil_Code
WRITING,https://huggingface.co/datasets/PleIAs/Italian-PD
WRITING,https://huggingface.co/datasets/RiTA-nlp/tagengo-gpt4-italian
WRITING,https://huggingface.co/datasets/mii-community/UsenetArchiveIT-conversations
Filtered Links,https://huggingface.co/datasets/sapienzanlp/nermud
Filtered Links,https://huggingface.co/datasets/unimelb-nlp/wikiann
Filtered Links,https://huggingface.co/datasets/MultiCoNER/multiconer_v2
Filtered Links,https://huggingface.co/datasets/IVN-RIN/PsyNIT
Filtered Links,https://huggingface.co/datasets/DeepMount00/GLINER_ITA
Filtered Links,https://huggingface.co/datasets/DeepMount00/pii-masking-ita
Filtered Links,https://huggingface.co/datasets/mrovera/eventnet-ita
Filtered Links,https://huggingface.co/datasets/google/xtreme
Filtered Links,https://huggingface.co/datasets/Helsinki-NLP/tatoeba
Filtered Links,https://huggingface.co/datasets/facebook/flores
Filtered Links,https://huggingface.co/datasets/GroNLP/divemt
Filtered Links,https://huggingface.co/datasets/aiana94/polynews-parallel
Filtered Links,https://huggingface.co/datasets/ARTeLab/ilpost
Filtered Links,https://huggingface.co/datasets/ARTeLab/mlsum-it
Filtered Links,https://huggingface.co/datasets/ARTeLab/fanpage
Filtered Links,https://huggingface.co/datasets/itacasehold/itacasehold
Filtered Links,https://huggingface.co/datasets/sapienzanlp/wic
Filtered Links,https://huggingface.co/datasets/andreabac3/StackOverflow-Italian-Fauno-Baize?row=1
Filtered Links,https://huggingface.co/datasets/crux82/squad_it
Filtered Links,https://huggingface.co/datasets/sapienzanlp/piqa_italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/mmlu_italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/truthful_qa_italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/gsm8k_italian?row=0
Filtered Links,https://huggingface.co/datasets/sapienzanlp/arc_italian?row=0
Filtered Links,https://huggingface.co/datasets/sapienzanlp/quandho
Filtered Links,https://huggingface.co/datasets/sapienzanlp/sciq_italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/boolq_italian?row=81
Filtered Links,https://huggingface.co/datasets/lmqg/qg_itquad
Filtered Links,https://huggingface.co/datasets/alespalla/dlgs_81_08_qa
Filtered Links,https://huggingface.co/datasets/efederici/shp-partial-it?row=1
Filtered Links,https://huggingface.co/datasets/yurinoviello/miracl_ita
Filtered Links,https://huggingface.co/datasets/andreabac3/Quora-Italian-Fauno-Baize
Filtered Links,https://huggingface.co/datasets/giux78/100k-sft-ready-ultrafeedback-ita
Filtered Links,https://huggingface.co/datasets/efederici/lfqa-preprocessed-it
Filtered Links,https://huggingface.co/datasets/room-b007/test-medicina
Filtered Links,https://huggingface.co/datasets/FinancialSupport/quiz_militare
Filtered Links,https://huggingface.co/datasets/DeepMount00/mmlu_it_open
Filtered Links,https://huggingface.co/datasets/benjleite/FairytaleQA-translated-italian
Filtered Links,https://huggingface.co/datasets/GianlucaMondillo/MotherPediatricianQA_ITA
Filtered Links,https://huggingface.co/datasets/WasamiKirua/psycology-dataset-ita
Filtered Links,https://huggingface.co/datasets/Detsutut/medmcqa-ita
Filtered Links,https://huggingface.co/datasets/efederici/fisica
Filtered Links,https://huggingface.co/datasets/efederici/biologia-mc
Filtered Links,https://huggingface.co/datasets/ReDiX/wikipediaQA-ita
Filtered Links,https://huggingface.co/datasets/mii-llm/argilla-math-preferences-it
Filtered Links,https://huggingface.co/datasets/sapienzanlp/winogrande_italian?row=7
Filtered Links,https://huggingface.co/datasets/sapienzanlp/pretens
Filtered Links,https://huggingface.co/datasets/sapienzanlp/discotex
Filtered Links,https://huggingface.co/datasets/benjleite/FairytaleQA-translated-italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/piqa_italian
Filtered Links,https://huggingface.co/datasets/sapienzanlp/prelearn
Filtered Links,https://huggingface.co/datasets/sapienzanlp/hellaswag_italian?row=0
Filtered Links,https://huggingface.co/datasets/raicrits/Orca_ITA_200k
Filtered Links,https://huggingface.co/datasets/raicrits/RAI-CMM-OPEN1
Filtered Links,https://huggingface.co/datasets/efederici/lfqa-preprocessed-it
Filtered Links,https://huggingface.co/datasets/swap-uniba/drop_ita
Filtered Links,https://huggingface.co/datasets/mii-llm/cruciverba
Filtered Links,https://huggingface.co/datasets/efederici/capybara-claude-15k-ita
Filtered Links,https://huggingface.co/datasets/giux78/aya_dataset_ita
Filtered Links,https://huggingface.co/datasets/Kamyar-zeinalipour/ITA_CW
Filtered Links,https://huggingface.co/datasets/gsarti/itacola
Filtered Links,https://huggingface.co/datasets/community-datasets/tapaco
Filtered Links,https://huggingface.co/datasets/PhilipMay/stsb_multi_mt
Filtered Links,https://huggingface.co/datasets/gsarti/change_it
Filtered Links,https://huggingface.co/datasets/leobertolazzi/ita2medieval 
Filtered Links,https://huggingface.co/datasets/efederici/shp-partial-it?row=1
Filtered Links,https://huggingface.co/datasets/teelinsan/camoscio?row=3
Filtered Links,https://huggingface.co/datasets/mchl-labs/stambecco_data_it
Filtered Links,https://huggingface.co/datasets/efederici/alpaca-gpt4-it
Filtered Links,https://huggingface.co/datasets/amitness/wikipedia_it
Filtered Links,https://huggingface.co/datasets/cosimoiaia/Loquace-102k
Filtered Links,https://huggingface.co/datasets/andreabac3/MedQuaAD-Italian-Fauno-Baize
Filtered Links,https://huggingface.co/datasets/seeweb/Seeweb-it-292-forLLM
Filtered Links,https://huggingface.co/datasets/teelinsan/camoscio_cleaned
Filtered Links,https://huggingface.co/datasets/AndreaSimeri/Italian_Civil_Code
Filtered Links,https://huggingface.co/datasets/PleIAs/Italian-PD
Filtered Links,https://huggingface.co/datasets/RiTA-nlp/tagengo-gpt4-italian
Filtered Links,https://huggingface.co/datasets/mii-community/UsenetArchiveIT-conversations